"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2000,11,"11","Kreis 11",1,"01","Verheiratetentarif",61.9,44.2,84.7
2000,11,"11","Kreis 11",2,"02","Einelternfamilientarif",35.8,20.3,52.1
2000,12,"12","Kreis 12",0,"00","Grundtarif",29.8,16.5,44.5
2000,12,"12","Kreis 12",1,"01","Verheiratetentarif",56.6,40.9,74.4
2000,12,"12","Kreis 12",2,"02","Einelternfamilientarif",30.6,15.6,44.1
2001,1,"1","Kreis 1",0,"00","Grundtarif",42.4,18.1,72.8
2001,1,"1","Kreis 1",1,"01","Verheiratetentarif",94.95,57.5,157.3
2001,1,"1","Kreis 1",2,"02","Einelternfamilientarif",54.8,32.6,120.4
2001,2,"2","Kreis 2",0,"00","Grundtarif",41,21,63.9
2001,2,"2","Kreis 2",1,"01","Verheiratetentarif",76,53.1,112.2
2001,2,"2","Kreis 2",2,"02","Einelternfamilientarif",42.2,24.95,63.8
2001,3,"3","Kreis 3",0,"00","Grundtarif",36.1,19.7,54.7
2001,3,"3","Kreis 3",1,"01","Verheiratetentarif",62.4,43.5,85.2
2001,3,"3","Kreis 3",2,"02","Einelternfamilientarif",35.7,19.3,51
2001,4,"4","Kreis 4",0,"00","Grundtarif",32.2,17,50.4
2001,4,"4","Kreis 4",1,"01","Verheiratetentarif",55.35,37.15,73.8
2001,4,"4","Kreis 4",2,"02","Einelternfamilientarif",34,16.5,47.75
2001,5,"5","Kreis 5",0,"00","Grundtarif",36.9,18.7,56.5
2001,5,"5","Kreis 5",1,"01","Verheiratetentarif",58.8,41.5,79.2
2001,5,"5","Kreis 5",2,"02","Einelternfamilientarif",35.5,20,49.4
2001,6,"6","Kreis 6",0,"00","Grundtarif",41.4,20.8,65
2001,6,"6","Kreis 6",1,"01","Verheiratetentarif",77.7,52.8,120.5
2001,6,"6","Kreis 6",2,"02","Einelternfamilientarif",41.8,24.9,61.7
2001,7,"7","Kreis 7",0,"00","Grundtarif",44.9,20.2,71.9
2001,7,"7","Kreis 7",1,"01","Verheiratetentarif",101.4,63.75,168.45
2001,7,"7","Kreis 7",2,"02","Einelternfamilientarif",52.25,30.65,83.8
2001,8,"8","Kreis 8",0,"00","Grundtarif",45.6,22.7,70.1
2001,8,"8","Kreis 8",1,"01","Verheiratetentarif",86.6,58.2,139.3
2001,8,"8","Kreis 8",2,"02","Einelternfamilientarif",51.7,29.15,77.35
2001,9,"9","Kreis 9",0,"00","Grundtarif",36.7,20.3,53.7
2001,9,"9","Kreis 9",1,"01","Verheiratetentarif",63.45,46.6,86
2001,9,"9","Kreis 9",2,"02","Einelternfamilientarif",36.5,20.1,50.55
2001,10,"10","Kreis 10",0,"00","Grundtarif",42.1,21.7,62.6
2001,10,"10","Kreis 10",1,"01","Verheiratetentarif",75,53.8,108
2001,10,"10","Kreis 10",2,"02","Einelternfamilientarif",40.9,25.3,59.3
2001,11,"11","Kreis 11",0,"00","Grundtarif",36.1,19.6,54.2
2001,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.3,45.4,88.4
2001,11,"11","Kreis 11",2,"02","Einelternfamilientarif",36.9,21.3,54
2001,12,"12","Kreis 12",0,"00","Grundtarif",30.8,17,45.9
2001,12,"12","Kreis 12",1,"01","Verheiratetentarif",58.9,42.5,76.9
2001,12,"12","Kreis 12",2,"02","Einelternfamilientarif",32.4,16.9,46.2
2002,1,"1","Kreis 1",0,"00","Grundtarif",42,18.2,72.7
2002,1,"1","Kreis 1",1,"01","Verheiratetentarif",92.2,56.4,153.2
2002,1,"1","Kreis 1",2,"02","Einelternfamilientarif",55.9,30.3,112.2
2002,2,"2","Kreis 2",0,"00","Grundtarif",40.8,20.4,63.6
2002,2,"2","Kreis 2",1,"01","Verheiratetentarif",75.9,53,113
2002,2,"2","Kreis 2",2,"02","Einelternfamilientarif",43.8,24.9,66.8
2002,3,"3","Kreis 3",0,"00","Grundtarif",36.2,18.9,55
2002,3,"3","Kreis 3",1,"01","Verheiratetentarif",61.9,42.9,85.5
2002,3,"3","Kreis 3",2,"02","Einelternfamilientarif",36.2,20.3,52.6
2002,4,"4","Kreis 4",0,"00","Grundtarif",32,16.2,50.5
2002,4,"4","Kreis 4",1,"01","Verheiratetentarif",55.4,37.1,74.4
2002,4,"4","Kreis 4",2,"02","Einelternfamilientarif",33.1,16.4,48.7
2002,5,"5","Kreis 5",0,"00","Grundtarif",37.8,19.6,57.7
2002,5,"5","Kreis 5",1,"01","Verheiratetentarif",59.6,39.85,81.7
2002,5,"5","Kreis 5",2,"02","Einelternfamilientarif",36.45,22.35,49.45
2002,6,"6","Kreis 6",0,"00","Grundtarif",41.76,21.2,65.7
2002,6,"6","Kreis 6",1,"01","Verheiratetentarif",78.4,53.5,119.4
2002,6,"6","Kreis 6",2,"02","Einelternfamilientarif",43.6,25.9,66.3
2002,7,"7","Kreis 7",0,"00","Grundtarif",45,20.3,72.7
2002,7,"7","Kreis 7",1,"01","Verheiratetentarif",101.25,63.2,167
2002,7,"7","Kreis 7",2,"02","Einelternfamilientarif",56.6,34.1,92.5
2002,8,"8","Kreis 8",0,"00","Grundtarif",45,21.9,70.3
2002,8,"8","Kreis 8",1,"01","Verheiratetentarif",87.7,58,136.3
2002,8,"8","Kreis 8",2,"02","Einelternfamilientarif",50,27.1,77.7
2002,9,"9","Kreis 9",0,"00","Grundtarif",36.6,20.1,53.6
2002,9,"9","Kreis 9",1,"01","Verheiratetentarif",63.6,46.9,85.6
2002,9,"9","Kreis 9",2,"02","Einelternfamilientarif",37.35,21.2,51.5
2002,10,"10","Kreis 10",0,"00","Grundtarif",42.5,21.3,63
2002,10,"10","Kreis 10",1,"01","Verheiratetentarif",74.4,53.1,107.4
2002,10,"10","Kreis 10",2,"02","Einelternfamilientarif",43.25,25.8,61.3
2002,11,"11","Kreis 11",0,"00","Grundtarif",36.5,19.1,54.4
2002,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.4,45.4,88
2002,11,"11","Kreis 11",2,"02","Einelternfamilientarif",37.2,20.5,55.4
2002,12,"12","Kreis 12",0,"00","Grundtarif",30.9,16.6,46
2002,12,"12","Kreis 12",1,"01","Verheiratetentarif",58.5,41.9,76.3
2002,12,"12","Kreis 12",2,"02","Einelternfamilientarif",33.5,17.5,46
2003,1,"1","Kreis 1",0,"00","Grundtarif",42.9,17.6,74.55
2003,1,"1","Kreis 1",1,"01","Verheiratetentarif",90.35,53.5,151
2003,1,"1","Kreis 1",2,"02","Einelternfamilientarif",52.4,30.8,99.7
2003,2,"2","Kreis 2",0,"00","Grundtarif",40.5,20.6,62.9
2003,2,"2","Kreis 2",1,"01","Verheiratetentarif",75.5,52.5,111.9
2003,2,"2","Kreis 2",2,"02","Einelternfamilientarif",43.45,23.7,69.2
2003,3,"3","Kreis 3",0,"00","Grundtarif",36.2,18.8,55
2003,3,"3","Kreis 3",1,"01","Verheiratetentarif",61.5,42.2,83.6
2003,3,"3","Kreis 3",2,"02","Einelternfamilientarif",36.2,20.05,51.95
2003,4,"4","Kreis 4",0,"00","Grundtarif",32.5,16.2,50.4
2003,4,"4","Kreis 4",1,"01","Verheiratetentarif",54.8,36.4,74.1
2003,4,"4","Kreis 4",2,"02","Einelternfamilientarif",33.3,16.1,47.2
2003,5,"5","Kreis 5",0,"00","Grundtarif",38.9,19.5,58.6
2003,5,"5","Kreis 5",1,"01","Verheiratetentarif",59.6,40.3,79.9
2003,5,"5","Kreis 5",2,"02","Einelternfamilientarif",35.8,19.8,50.7
2003,6,"6","Kreis 6",0,"00","Grundtarif",42,21.1,65.2
2003,6,"6","Kreis 6",1,"01","Verheiratetentarif",78.7,53.6,120.9
2003,6,"6","Kreis 6",2,"02","Einelternfamilientarif",42.8,25.7,67.5
2003,7,"7","Kreis 7",0,"00","Grundtarif",45,19.5,72.9
2003,7,"7","Kreis 7",1,"01","Verheiratetentarif",100,64,169.1
2003,7,"7","Kreis 7",2,"02","Einelternfamilientarif",54.4,31.35,89.95
2003,8,"8","Kreis 8",0,"00","Grundtarif",45.9,21.7,70.2
2003,8,"8","Kreis 8",1,"01","Verheiratetentarif",88.3,57.3,138.4
2003,8,"8","Kreis 8",2,"02","Einelternfamilientarif",50.35,28.25,70.7
2003,9,"9","Kreis 9",0,"00","Grundtarif",36.7,20,53.8
2003,9,"9","Kreis 9",1,"01","Verheiratetentarif",62.6,46.4,85.2
2003,9,"9","Kreis 9",2,"02","Einelternfamilientarif",37,21.3,51.5
2003,10,"10","Kreis 10",0,"00","Grundtarif",42.3,21.5,62.8
2003,10,"10","Kreis 10",1,"01","Verheiratetentarif",74.3,52.8,107.2
2003,10,"10","Kreis 10",2,"02","Einelternfamilientarif",43,24.9,60.3
2003,11,"11","Kreis 11",0,"00","Grundtarif",36.4,19,54.3
2003,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.1,45,88.4
2003,11,"11","Kreis 11",2,"02","Einelternfamilientarif",36.7,20,52.7
2003,12,"12","Kreis 12",0,"00","Grundtarif",30.9,16.4,45.5
2003,12,"12","Kreis 12",1,"01","Verheiratetentarif",58.3,41.7,75.6
2003,12,"12","Kreis 12",2,"02","Einelternfamilientarif",31.8,17.2,46
2004,1,"1","Kreis 1",0,"00","Grundtarif",41.5,16.9,74.6
2004,1,"1","Kreis 1",1,"01","Verheiratetentarif",95.8,59.6,152.7
2004,1,"1","Kreis 1",2,"02","Einelternfamilientarif",55.4,32.7,102.4
2004,2,"2","Kreis 2",0,"00","Grundtarif",40.1,19.9,63
2004,2,"2","Kreis 2",1,"01","Verheiratetentarif",76.4,51.9,114.5
2004,2,"2","Kreis 2",2,"02","Einelternfamilientarif",43,25,66.8
2004,3,"3","Kreis 3",0,"00","Grundtarif",36.1,18.4,55.3
2004,3,"3","Kreis 3",1,"01","Verheiratetentarif",61.1,41.2,85.3
2004,3,"3","Kreis 3",2,"02","Einelternfamilientarif",37.2,20,54
2004,4,"4","Kreis 4",0,"00","Grundtarif",32,15.7,50.9
2004,4,"4","Kreis 4",1,"01","Verheiratetentarif",53,34.6,72.5
2004,4,"4","Kreis 4",2,"02","Einelternfamilientarif",32,15.9,50
2004,5,"5","Kreis 5",0,"00","Grundtarif",39.5,18.5,59.4
2004,5,"5","Kreis 5",1,"01","Verheiratetentarif",59.5,40.6,82.8
2004,5,"5","Kreis 5",2,"02","Einelternfamilientarif",36.2,17,51.5
