"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2024,"2024.04",2,"Stadtkreise",10,"Kreis 1",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1814,1780,1848,822,779,877,1276,1263,1289,1713,1677,1731,2143,2115,2168,2722,2624,2741,134,123,0
2022,"2022.04",2,"Stadtkreise",10,"Kreis 1",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2106,2002,2211,1309,1078,1517,1718,1538,1861,2105,2000,2230,2518,2300,2620,2887,2642,2975,774,81,99
2024,"2024.04",2,"Stadtkreise",10,"Kreis 1",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2195,2113,2277,1411,1266,1505,1716,1616,1819,2102,2006,2192,2591,2437,2699,3038,2855,3455,743,76,144
2022,"2022.04",2,"Stadtkreise",10,"Kreis 1",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2703,2584,2822,1399,1200,1708,2052,1798,2195,2565,2380,2843,3300,3162,3606,4045,3594,4495,635,69,97
2024,"2024.04",2,"Stadtkreise",10,"Kreis 1",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2944,2829,3059,1544,1441,1777,2199,1975,2400,2813,2676,2880,3455,3300,3683,4323,3830,4496,621,70,154
2022,"2022.04",2,"Stadtkreise",10,"Kreis 1",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",3237,3066,3409,1598,1419,1923,2400,1960,2735,3329,2963,3514,3881,3668,4100,4446,4100,5214,323,27,69
2024,"2024.04",2,"Stadtkreise",10,"Kreis 1",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",3505,3309,3700,1443,1300,1765,2288,1785,2556,3445,3180,3749,4571,4037,4778,5427,4876,6215,316,25,91
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",941,914,967,605,581,641,691,656,745,908,862,923,1126,1069,1168,1317,1283,1424,971,535,53
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1047,1027,1067,683,645,721,765,746,861,997,960,1039,1273,1201,1304,1495,1381,1591,997,591,53
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1083,1036,1131,721,692,750,794,772,816,1001,960,1029,1181,1143,1261,1587,1513,1758,1736,873,63
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1185,1160,1210,799,785,821,901,885,932,1104,1087,1159,1347,1313,1405,1690,1619,1769,1745,928,69
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1374,1350,1398,885,876,961,1112,1045,1134,1298,1256,1355,1675,1581,1710,1887,1771,1980,1435,763,52
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1494,1460,1529,936,907,1102,1191,1141,1245,1467,1418,1500,1756,1722,1817,2076,1978,2116,1413,827,63
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1662,1600,1724,1083,951,1125,1262,1210,1351,1548,1480,1699,1980,1900,2086,2403,2228,2519,2749,460,101
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1861,1797,1926,1156,1085,1220,1368,1285,1415,1702,1567,1795,2158,2088,2253,2797,2657,3133,2859,468,153
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2120,2029,2211,1206,1165,1348,1450,1400,1558,1911,1816,2064,2580,2435,2774,3499,3234,3563,3833,815,100
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2217,2154,2281,1386,1250,1450,1648,1569,1726,2050,1987,2184,2664,2507,2817,3317,3141,3455,3917,831,155
2022,"2022.04",2,"Stadtkreise",20,"Kreis 2",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2616,2493,2740,1421,1138,1576,1900,1763,2021,2402,2266,2526,3169,2950,3327,3786,3541,4031,2285,461,112
2024,"2024.04",2,"Stadtkreise",20,"Kreis 2",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2698,2597,2798,1654,1550,1799,1982,1899,2140,2480,2360,2550,3133,2987,3363,3884,3650,4394,2337,486,162
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",826,811,842,565,565,568,653,639,673,781,781,815,964,942,1005,1129,1087,1243,1432,855,64
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",858,826,891,584,584,588,709,684,728,821,784,849,980,931,1040,1166,1109,1212,1442,866,66
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",928,904,952,647,627,667,738,728,768,852,832,891,1025,995,1106,1350,1285,1396,3050,1850,67
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",971,948,994,670,659,695,773,764,808,914,871,946,1088,1025,1154,1401,1295,1439,2990,1891,63
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1286,1267,1304,856,814,881,975,969,1014,1276,1250,1293,1562,1546,1635,1759,1706,1772,1886,1175,84
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1357,1314,1399,867,828,883,1032,1002,1050,1293,1280,1331,1560,1506,1601,2019,1822,2181,1871,1218,82
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1478,1429,1527,1034,953,1109,1221,1173,1252,1401,1330,1444,1655,1566,1757,2050,1920,2211,4921,850,122
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1647,1604,1690,1095,1047,1157,1330,1273,1380,1520,1500,1600,1847,1800,1941,2411,2244,2472,4912,863,187
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1789,1718,1860,1181,1106,1330,1404,1347,1500,1710,1600,1788,2056,1944,2283,2587,2400,2689,6901,920,110
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1899,1842,1957,1197,1141,1300,1459,1415,1547,1760,1712,1850,2262,2150,2477,2780,2650,2897,6785,864,181
2022,"2022.04",2,"Stadtkreise",30,"Kreis 3",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2286,2188,2385,1435,1340,1650,1800,1750,1875,2169,2031,2254,2700,2504,2931,3197,2940,3450,2300,269,102
2024,"2024.04",2,"Stadtkreise",30,"Kreis 3",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2327,2239,2414,1400,1295,1600,1726,1629,1804,2268,2145,2395,2817,2604,2965,3451,3233,3568,2296,249,139
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",963,945,981,637,612,648,743,705,780,893,891,905,1083,1074,1132,1400,1315,1499,1218,858,55
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1031,1010,1053,708,684,715,808,774,834,936,933,959,1143,1136,1160,1541,1329,1617,1213,898,47
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1000,967,1032,683,674,686,754,738,769,888,866,912,1138,1108,1169,1440,1330,1499,2066,1512,50
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1059,1037,1081,752,745,758,835,819,861,980,962,997,1161,1145,1190,1471,1423,1511,2116,1647,49
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1247,1210,1283,824,810,838,916,896,944,1120,1110,1141,1413,1353,1440,1879,1708,2045,713,478,57
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1405,1363,1446,887,876,895,1021,998,1052,1214,1203,1233,1646,1552,1704,2198,2100,2392,760,553,40
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1647,1607,1687,990,905,1059,1266,1214,1380,1600,1550,1677,1902,1830,1959,2324,2164,2470,2857,507,158
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1748,1702,1795,1022,965,1092,1287,1210,1350,1642,1567,1706,2045,1970,2170,2530,2462,2618,2880,648,226
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1880,1814,1946,1056,971,1201,1410,1264,1498,1713,1664,1800,2204,2119,2450,2972,2799,3068,4073,631,120
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2049,1996,2101,1275,1217,1346,1542,1487,1606,1980,1887,2080,2426,2360,2498,2896,2762,3145,4013,803,160
2022,"2022.04",2,"Stadtkreise",40,"Kreis 4",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2277,2193,2360,1477,1390,1550,1639,1543,1697,2138,1975,2236,2800,2595,2985,3297,3084,3635,1483,184,82
2024,"2024.04",2,"Stadtkreise",40,"Kreis 4",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2588,2489,2687,1410,1250,1572,1820,1718,1930,2490,2288,2750,3200,3077,3346,3840,3675,4069,1467,263,120
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",804,794,815,583,583,590,663,663,667,740,724,755,938,876,951,1164,1114,1237,340,263,16
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",856,825,887,565,552,594,679,660,702,804,793,825,953,899,991,1248,1153,1363,331,252,20
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",895,876,913,629,591,648,717,695,742,800,788,837,990,925,1079,1311,1231,1361,917,631,19
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",969,954,984,689,688,691,795,785,799,934,899,955,1038,1007,1183,1324,1284,1462,924,643,20
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1223,1200,1245,716,684,784,914,878,945,1191,1131,1215,1548,1501,1583,1712,1641,1753,423,294,22
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1320,1302,1338,851,832,871,1038,990,1055,1248,1197,1309,1614,1557,1690,1822,1743,1872,407,279,19
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1797,1731,1864,1125,1073,1212,1360,1267,1450,1698,1600,1840,2098,1980,2299,2550,2441,2676,1355,363,77
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1841,1791,1891,1200,1177,1250,1376,1330,1492,1778,1700,1890,2220,2128,2349,2600,2478,2679,1317,343,94
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2146,2036,2257,1350,1095,1517,1650,1498,1720,1975,1789,2237,2559,2445,2755,3085,2850,3154,1904,416,66
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2270,2180,2361,1440,1300,1515,1667,1540,1832,2206,2020,2431,2727,2644,2862,3290,3147,3433,1819,408,85
2022,"2022.04",2,"Stadtkreise",50,"Kreis 5",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2432,2299,2566,1494,1373,1750,1662,1567,2123,2218,2129,2483,2880,2800,3200,3573,3400,3901,965,189,46
2024,"2024.04",2,"Stadtkreise",50,"Kreis 5",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2591,2463,2718,1453,1199,1651,1875,1648,2145,2403,2271,2611,3320,3080,3572,3837,3581,4114,914,221,52
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1004,936,1072,660,651,709,708,680,792,810,809,986,1138,1034,1343,1562,1375,2067,676,328,31
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",990,952,1028,706,660,733,755,723,813,927,898,965,1109,1003,1264,1471,1306,1508,731,380,39
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1001,985,1017,643,637,702,809,791,820,979,954,992,1086,1055,1129,1352,1301,1543,1939,1131,43
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1067,1053,1080,702,702,708,855,832,886,992,992,1055,1239,1175,1272,1423,1365,1515,2005,1261,47
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1375,1356,1395,1080,1059,1125,1182,1139,1191,1292,1271,1350,1491,1454,1543,1780,1741,1800,1156,705,37
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1478,1451,1505,1045,905,1129,1189,1171,1258,1400,1357,1413,1751,1736,1804,1951,1883,2047,1188,752,41
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1563,1478,1647,1135,940,1212,1260,1234,1308,1500,1400,1610,1807,1686,2000,2137,2000,2277,2578,349,75
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1692,1636,1749,1041,990,1170,1351,1250,1443,1611,1550,1705,2000,1933,2127,2400,2251,2589,2544,384,117
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1987,1885,2089,1264,1063,1394,1450,1403,1606,1950,1800,2198,2450,2230,2650,2809,2697,2988,3474,442,87
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2148,2062,2235,1206,1100,1340,1543,1408,1750,2123,1926,2273,2611,2505,2767,3072,2927,3334,3369,451,117
2022,"2022.04",2,"Stadtkreise",60,"Kreis 6",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2475,2360,2589,1241,1129,1464,1861,1569,2035,2446,2340,2591,2900,2728,3200,3559,3423,3700,2353,310,93
2024,"2024.04",2,"Stadtkreise",60,"Kreis 6",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2652,2566,2739,1578,1503,1724,2004,1895,2103,2562,2397,2755,3310,3094,3457,3800,3685,3959,2290,301,133
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1093,1081,1105,711,708,755,848,806,861,1060,1037,1089,1329,1312,1356,1460,1449,1479,302,191,48
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1192,1136,1248,727,657,919,999,819,1077,1168,1127,1271,1372,1364,1392,1561,1512,1660,358,198,36
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1248,1231,1265,861,783,888,900,885,968,1140,1105,1167,1384,1374,1415,1781,1680,1888,516,282,72
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1360,1344,1376,885,883,924,927,923,1026,1244,1207,1271,1468,1444,1497,2050,2000,2078,552,306,54
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1523,1502,1544,999,990,1030,1149,1107,1172,1355,1322,1400,1651,1639,1688,2110,2077,2150,421,242,58
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1619,1593,1644,1022,1012,1063,1182,1139,1202,1467,1424,1519,1776,1692,1866,2210,2172,2259,432,245,49
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1636,1581,1692,1000,912,1115,1275,1205,1350,1583,1526,1651,1972,1898,2030,2350,2326,2500,2651,394,138
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1842,1797,1887,1180,1100,1244,1400,1360,1450,1730,1640,1834,2282,2210,2367,2576,2484,2675,2713,394,186
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2022,1953,2092,1191,1080,1300,1540,1440,1610,1891,1800,1999,2426,2273,2500,2980,2721,3212,4329,620,151
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2226,2173,2280,1250,1200,1348,1609,1530,1688,2102,2039,2184,2724,2599,2800,3253,3112,3500,4286,621,236
2022,"2022.04",2,"Stadtkreise",70,"Kreis 7",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2574,2460,2688,1409,1237,1669,1873,1791,1931,2350,2261,2502,3062,2984,3388,4046,3524,4352,3341,371,132
2024,"2024.04",2,"Stadtkreise",70,"Kreis 7",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2650,2572,2728,1510,1430,1685,1988,1894,2059,2592,2469,2732,3253,3130,3355,3804,3570,4056,3193,360,205
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1108,1075,1142,750,750,802,860,847,885,1009,988,1031,1292,1180,1330,1505,1416,1550,98,80,0
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1196,1173,1218,775,755,807,906,901,923,1077,1064,1122,1405,1341,1420,1646,1631,1675,93,86,0
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1153,1141,1165,734,734,751,839,839,846,1078,1071,1085,1277,1264,1284,1583,1541,1629,253,235,0
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1214,1204,1224,794,776,801,894,892,900,1122,1116,1132,1337,1330,1347,1706,1682,1738,246,214,24
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1351,1339,1362,857,855,862,1045,1040,1058,1350,1345,1358,1484,1476,1486,1843,1835,1852,244,232,0
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1440,1432,1448,913,913,928,1127,1121,1133,1400,1400,1408,1587,1583,1589,1981,1967,1984,246,227,14
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1882,1822,1942,1044,980,1197,1413,1350,1531,1891,1800,1961,2280,2199,2399,2687,2539,2862,2213,477,113
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2054,2000,2109,1243,1121,1291,1477,1439,1540,1986,1910,2050,2540,2414,2639,2991,2853,3107,2192,497,176
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2323,2237,2410,1185,1049,1372,1659,1560,1801,2270,2137,2390,2818,2688,2994,3514,3162,3722,2773,472,125
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2568,2492,2645,1373,1256,1439,1769,1638,1900,2464,2300,2600,3207,3004,3362,4099,3778,4371,2751,493,185
2022,"2022.04",2,"Stadtkreise",80,"Kreis 8",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2860,2726,2995,1499,1362,1761,1982,1800,2160,2650,2505,2900,3604,3240,3901,4307,3978,4787,1393,166,99
2024,"2024.04",2,"Stadtkreise",80,"Kreis 8",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2926,2819,3033,1529,1295,1731,2111,1880,2188,2762,2618,2993,3618,3436,3865,4507,4148,4758,1367,176,142
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",944,916,972,591,578,621,702,679,729,911,878,931,1124,1063,1199,1350,1298,1406,1657,995,46
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1009,973,1045,620,589,672,776,740,816,984,956,1050,1225,1156,1266,1363,1321,1419,1661,1028,38
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",994,975,1013,634,622,651,721,702,767,969,929,996,1173,1148,1211,1459,1374,1506,4058,2215,74
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1049,1027,1070,681,672,708,811,768,843,1007,980,1046,1235,1205,1266,1475,1404,1533,3917,2280,59
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1361,1330,1393,750,706,824,1025,957,1063,1357,1322,1401,1689,1631,1719,1850,1758,1942,2299,1211,62
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1433,1400,1465,813,777,963,1102,1083,1147,1419,1381,1485,1718,1692,1750,1904,1830,2079,2257,1253,57
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1551,1498,1604,1074,930,1129,1185,1136,1230,1422,1338,1523,1818,1685,1984,2250,2081,2320,5315,822,78
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1636,1603,1670,1095,1072,1167,1287,1239,1343,1564,1504,1630,1997,1871,2052,2280,2168,2348,5440,1581,127
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1713,1655,1771,1117,1056,1204,1286,1233,1380,1675,1551,1724,2108,1900,2235,2346,2279,2578,6624,1011,94
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1946,1901,1991,1270,1212,1310,1476,1436,1543,1850,1767,1914,2360,2235,2433,2841,2693,3045,6831,1567,126
2022,"2022.04",2,"Stadtkreise",90,"Kreis 9",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2240,2164,2317,1492,1277,1558,1790,1700,1951,2200,2120,2319,2670,2501,2785,3078,2815,3241,3028,587,63
2024,"2024.04",2,"Stadtkreise",90,"Kreis 9",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2364,2301,2427,1594,1502,1658,1815,1723,1955,2256,2100,2388,2750,2620,2877,3420,3126,3533,3140,826,94
2022,"2022.04",2,"Stadtkreise",100,"Kreis 10",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",889,866,911,622,602,631,686,672,706,852,832,869,1054,1025,1071,1218,1182,1263,1215,801,52
2024,"2024.04",2,"Stadtkreise",100,"Kreis 10",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",965,944,986,674,662,685,735,722,759,914,877,950,1143,1083,1164,1325,1262,1424,1246,828,44
2022,"2022.04",2,"Stadtkreise",100,"Kreis 10",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1048,1017,1079,719,712,732,788,772,815,972,946,1013,1219,1165,1262,1445,1402,1611,2128,1429,40
2024,"2024.04",2,"Stadtkreise",100,"Kreis 10",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1084,1063,1105,755,749,767,831,816,857,1028,991,1058,1233,1203,1287,1511,1443,1559,2098,1424,41
2022,"2022.04",2,"Stadtkreise",100,"Kreis 10",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1379,1348,1410,834,820,869,1033,1010,1060,1324,1288,1353,1637,1572,1724,1986,1890,2075,1340,871,53
